"channel_id","channel_type","source_optode","source_landmark","detector_optode","detector_landmark","fOLD_reference","fOLD_channel_number","fOLD_source_landmark","fOLD_detector_landmark","match_status","fOLD_distance_mm","fOLD_brain_sensitivity_percent","fOLD_mni_x_mm","fOLD_mni_y_mm","fOLD_mni_z_mm","Brodmann_primary_area","Brodmann_primary_specificity_percent","Brodmann_all_areas"
"Ch-124","short","S29","F3","D57","F3","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-125","long","S30","F7","D27","F5","10-10","17","F7","F5","Exact unordered 10-10 landmark pair","28","5,22","-53","37","6","45 - pars triangularis Broca's area","79,84","45 - pars triangularis Broca's area (79,84%); Brain_Outside (8,73%); 46 - Dorsolateral prefrontal cortex (5,76%); 47 - Inferior prefrontal gyrus (3,56%)"
"Ch-126","short","S30","F7","D58","F7","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-127","long","S31","AF3","D2","AFz","10-10","5","AF3","AFz","Exact unordered 10-10 landmark pair","36","10,02","-12","62","23","10 - Frontopolar area","75,76","10 - Frontopolar area (75,76%); 9 - Dorsolateral prefrontal cortex (14,55%); 46 - Dorsolateral prefrontal cortex (8,05%); 32 - Dorsal anterior cingulate cortex (1,12%)"
"Ch-128","long","S31","AF3","D26","F1","10-10","6","AF3","F1","Exact unordered 10-10 landmark pair","44","10,59","-23","52","32","9 - Dorsolateral prefrontal cortex","48,44","9 - Dorsolateral prefrontal cortex (48,44%); 46 - Dorsolateral prefrontal cortex (32,04%); 10 - Frontopolar area (16,89%); 8 - Includes Frontal eye fields (1,23%)"
"Ch-129","long","S31","AF3","D27","F5","10-10","7","AF3","F5","Exact unordered 10-10 landmark pair","44","15,11","-39","50","17","46 - Dorsolateral prefrontal cortex","49,34","46 - Dorsolateral prefrontal cortex (49,34%); 45 - pars triangularis Broca's area (32,12%); 10 - Frontopolar area (16,04%)"
"Ch-130","long","S31","AF3","D28","Fp1","10-10","4","AF3","Fp1","Exact unordered 10-10 landmark pair","27","7,06","-24","63","9","10 - Frontopolar area","69,63","10 - Frontopolar area (69,63%); 11 - Orbitofrontal area (20,12%); 46 - Dorsolateral prefrontal cortex (8,79%)"
"Ch-131","short","S31","AF3","D59","AF3","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-132","long","S32","AF7","D27","F5","10-10","9","AF7","F5","Exact unordered 10-10 landmark pair","33","9,23","-47","46","6","45 - pars triangularis Broca's area","48,79","45 - pars triangularis Broca's area (48,79%); 46 - Dorsolateral prefrontal cortex (43,20%); 47 - Inferior prefrontal gyrus (3,53%); 10 - Frontopolar area (2,72%); Brain_Outside (1,36%)"
"Ch-133","long","S32","AF7","D28","Fp1","10-10","8","AF7","Fp1","Exact unordered 10-10 landmark pair","30","4,97","-33","59","-2","11 - Orbitofrontal area","32,71","11 - Orbitofrontal area (32,71%); 46 - Dorsolateral prefrontal cortex (25,27%); 10 - Frontopolar area (25,13%); 47 - Inferior prefrontal gyrus (13,10%); Brain_Outside (3,37%)"
"Ch-134","short","S32","AF7","D60","AF7","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
